video,frames,total_infer_sec,sec_per_frame,total_detections
05080385_2_주간_크고빠른새.MP4,61,159.022,2.6069,12
05300045_0_주간_배경.MOV,60,107.958,1.7993,0
06070020_2_주간_작고빠른새.MOV,60,114.919,1.9153,0
IMG_0021_13_주간_가림많음.MP4,60,114.794,1.9132,1095
IMG_0116_30_야간_겹침많음.MP4,40,80.004,2.0001,903
IMG_0157_0_주간_사람.MP4,60,96.06,1.601,6
IMG_0271_25_야간_구석선명하지않음.MP4,40,73.276,1.8319,555
IMG_0400_18_주간_구석작음사라짐.MP4,60,112.347,1.8724,998
IMG_0509_7_주간_쉬움.MP4,60,109.477,1.8246,706
IMG_0624_0_야간_배경.MP4,40,63.456,1.5864,1
RCNX0046_4_주간_이동많은위장.MP4,61,94.441,1.5482,20
